5033=Euronext Equities and Bonds Level 2|5034=740|5035=201|5026=1|
5033=IOPV Data|5034=741|5035=201|5026=1|
5033=London International Financial Future Exchange (LIFFE)|5034=742|5035=201|5026=1|
5033=Milan Stock Exchange Level 1 (Equities, Warrants, New Market, Block Trades, OTC)|5034=743|5035=201|5026=1|
5033=Swiss Indices (Formerly SOFFEX)|5034=744|5035=201|5026=1|
5033=FTSE Indices|5034=745|5035=201|5026=1|
5033=Tallin, Riga and Vilnius Stock Exchanges|5034=746|5035=201|5026=1|
5033=German Regional Exchanges - Berlin, Hanover, Frankfurt, Dusseldorf, Neuer Market, Hamburg, Bremen an|5034=747|5035=201|5026=1|
5033=EUREX German/European Derivatives (Futures and Options)|5034=748|5035=201|5026=1|
5033=Sydney Futures Exchange|5034=749|5035=201|5026=1|
5033=EuroMTS Indices|5034=750|5035=201|5026=1|
5033=Inactive Exchange|5034=751|5035=201|5026=1|
5033=Irish Stock Exchange Level 2|5034=752|5035=201|5026=1|
5033=Euronext Interest Rate and Futures Options Level 1|5034=753|5035=201|5026=1|
5033=Euronext Equities and Bonds Level 1 - Trades|5034=754|5035=201|5026=1|
5033=London Stock Exchange Domestic (UK) Level 1|5034=755|5035=201|5026=1|
5033=Intercontinental Exchange (ICE)|5034=756|5035=201|5026=1|
5033=London Stock Exchange International Level 1|5034=757|5035=201|5026=1|
5033=PLUS Mkts - Securities classed as Liquid by CESR traded on exhange Level 1|5034=758|5035=201|5026=1|
5033=Sydney Futures Exchange Level 2|5034=759|5035=201|5026=1|
5033=World Indices, Libor, Euribor, Eonia, and Misc.|5034=760|5035=201|5026=1|
5033=PLUS Mkts - Securities not classed Liquid by CESR traded on exhange Level 2|5034=761|5035=201|5026=1|
5033=Xetra|5034=762|5035=201|5026=1|
5033=Platts Crude Oil -International|5034=801|5035=201|5026=1|
5033=Platts Bunker Prices|5034=802|5035=201|5026=1|
5033=Platts Futures Closing Prices|5034=803|5035=201|5026=1|
5033=Platts Tanker Rates|5034=804|5035=201|5026=1|
5033=Platts North American Natural Gas Prices Monthly|5034=805|5035=201|5026=1|
5033=Platts  Intraday Indications|5034=806|5035=201|5026=1|
5033=Platts European Natural Gas Prices|5034=807|5035=201|5026=1|
5033=Platts Petroleum Derivatives Asia|5034=808|5035=201|5026=1|
5033=Platts Feedstock Prices|5034=809|5035=201|5026=1|
5033=Platts European Electricity Prices|5034=810|5035=201|5026=1|
5033=Platts US LPGas Prices|5034=811|5035=201|5026=1|
5033=Platts Electricity Forwards US|5034=812|5035=201|5026=1|
5033=Platts Metals Prices|5034=813|5035=201|5026=1|
5033=Platts Asia/AG Product Prices|5034=814|5035=201|5026=1|
5033=Platts European Product Prices|5034=815|5035=201|5026=1|
5033=Platts Petrochemical Prices|5034=816|5035=201|5026=1|
5033=Platts US Product Prices - Light Ends / Latam|5034=817|5035=201|5026=1|
5033=Platts International LPGas Prices|5034=818|5035=201|5026=1|
5033=Platts US Racks Prices|5034=819|5035=201|5026=1|
5033=Platts Misc. Petroleum Data (API/DOE Statistics, Indices, Forex, Weekly/Monthly/Averages|5034=820|5035=201|5026=1|
5033=Platts US Electricity Prices|5034=821|5035=201|5026=1|
5033=Platts US Product Prices  Resids|5034=822|5035=201|5026=1|
5033=Platts Petroleum Derivatives Americas|5034=823|5035=201|5026=1|
5033=Platts Crude Oil  N. America|5034=824|5035=201|5026=1|
5033=Platts Yields & Netbacks|5034=825|5035=201|5026=1|
5033=Platts Petroleum Derivatives EMEA|5034=826|5035=201|5026=1|
5033=LSE Level 2 Order Book|5034=865|5035=201|5026=1|
5033=Lima Stock Exchange Level 1 (BVL)|5034=866|5035=201|5026=1|
5033=Swiss Stock Exchange Level 2|5034=867|5035=201|5026=1|
5033=Prague Level 2|5034=868|5035=201|5026=1|
5033=Swiss Bonds and Warrants Level 2|5034=869|5035=201|5026=1|
5033=Vienna Cash Market Level 2|5034=870|5035=201|5026=1|
5033=iBoxx Euro Consolidated|5034=871|5035=201|5026=1|
5033=iBoxx Sterling Consolidated|5034=872|5035=201|5026=1|
5033=LSE International Level 2|5034=873|5035=201|5026=1|
5033=Bratislava Stock Exchange: Level 1|5034=874|5035=201|5026=1|
5033=Bratislava Stock Exchange: Level 2|5034=875|5035=201|5026=1|
5033=Hong Kong Futures Exchange Level 2|5034=876|5035=201|5026=1|
5033=Tullett - Benchmark and off-the-run Government Bonds|5034=877|5035=201|5026=1|
5033=Tullett - Interest Rate Swaps, FRAs and OIS|5034=878|5035=201|5026=1|
5033=Tullett - Spot FX, Forward FX, NDFs and Cash Deposit|5034=879|5035=201|5026=1|
5033=Tullett - FX Options|5034=880|5035=201|5026=1|
5033=Tullett - Interest Rate Options and Swaptions (ATM)|5034=881|5035=201|5026=1|
5033=Tullett - Mortgage Data|5034=882|5035=201|5026=1|
5033=Tullett - Inflation Derivatives|5034=883|5035=201|5026=1|
5033=Tullett - Out of the Money Swaptions and IR Option Surfaces|5034=884|5035=201|5026=1|
5033=Tullett - Credit Default Swaps|5034=885|5035=201|5026=1|
5033=PLUS Markets - Securities not classed Liquid by CESR traded off Exch Level 2|5034=886|5035=201|5026=1|
5033=ASX ITS Index|5034=887|5035=201|5026=1|
5033=ASX ITS Options Level 2|5034=888|5035=201|5026=1|
5033=ASX ITS Options Level 1|5034=889|5035=201|5026=1|
5033=LMEmini Level 1|5034=890|5035=201|5026=1|
5033=FTSE  Index Xinhua|5034=897|5035=201|5026=1|
5033=Shenzen Stock Exchange Xinhua|5034=898|5035=201|5026=1|
5033=Shanghai Stock Exchange Xinhua|5034=899|5035=201|5026=1|
5033=Milan Bonds Level 1|5034=900|5035=201|5026=1|
5033=Milan Stocks Level 2|5034=901|5035=201|5026=1|
5033=Milan Indices|5034=902|5035=201|5026=1|
5033=Milan Derivatives (Futures and Options)|5034=903|5035=201|5026=1|
5033=Athens Stock Exchange|5034=904|5035=201|5026=1|
5033=Inactive Exchange starting Jan 3, 2007; was GFI FX Options - 4 point smile|5034=905|5035=201|5026=1|
5033=OMX - Nordic Derivatives Level 1|5034=906|5035=201|5026=1|
5033=Athens Stock Exchange Indices|5034=907|5035=201|5026=1|
5033=Stuttgart Derivatives Exchange|5034=908|5035=201|5026=1|
5033=KOSDAQ Level 1|5034=909|5035=201|5026=1|
5033=Korea Stock Exchange|5034=910|5035=201|5026=1|
5033=Bombay Stock Exchange Level 1|5034=911|5035=201|5026=1|
5033=Bombay Stock Exchange Indices and SENSEX|5034=912|5035=201|5026=1|
5033=JASDAQ|5034=913|5035=201|5026=1|
